sid,link_name,borough,treatment_group,signed_min_distance_m,signed_max_distance_m,nearest_boundary_line_m,wholly_north_of_boundary,geometry_source,metric,polyline
3002,Lexington Avenue - Southbound - 57th St to 49th St,Manhattan,treated,-1025.7441081246104,-382.39959733719377,382.39959733719377,False,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,ybxwF`bnbM??vRxMzJfG
13003,57th Street - Eastbound - Madison Ave to Lexington Ave,Manhattan,treated,-391.65075610291376,-384.9149789768454,384.9149789768454,False,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,yjxwFpvnbM|BmHnCuI
5006,3rd Avenue - Northbound - 49th St to 57th St,Manhattan,treated,-1028.8105398674195,-386.4514363202898,386.4514363202898,False,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,a_wwFfonbMq^aV
203055,57th St - westbound - QBB UL Entrance to 2 Ave,Manhattan,treated,-389.01544002870884,-387.29097735675714,387.29097735675714,False,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,{vwwFbembM_AvC
41203,57th St - westbound - 1 Ave to QBB UL Entrance,Manhattan,treated,-394.25365746627006,-390.0105716832343,390.0105716832343,False,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,qrwwFb{lbMcCtH
3006,57th Street - Eastbound - Lexington Ave to 3rd Ave,Manhattan,treated,-396.88897354047486,-391.65075610291376,391.65075610291376,False,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,kbxwFlbnbMfAiD`AuC
55046,2nd Avenue  - Southbound - 57th St to 49th St,Manhattan,treated,-1036.1459891617067,-391.8160711335693,391.8160711335693,False,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,uxwwFbjmbMhC`B|BxAxBvAzB|A~BxAzBzAzBzA~B|A
55203,57th St - eastbound - 2 Ave to QBB UL Entrance,Manhattan,treated,-396.35088932379546,-395.71231949940676,395.71231949940676,False,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,kxwwF`jmbMz@yC
40041,1st Avenue - Northbound - 49th St to 57th St,Manhattan,treated,-1041.5300728026377,-396.80793676125,396.80793676125,False,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,yrvwFnrmbMu^cV
6055,57th Street - Eastbound - 3rd Ave to 2nd Ave,Manhattan,treated,-401.2682011130338,-397.0899447542191,397.0899447542191,False,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,_~wwFhxmbMxD}L
203041,57th St - eastbound - QBB UL Entrance to 1 Ave,Manhattan,treated,-406.85325596775107,-401.43351614370636,401.43351614370636,False,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,avwwF`embMbCoH
21193,72nd Street - Eastbound - Lexington Ave to 2nd Ave,Manhattan,control,807.5866143338551,820.0338636895519,807.5866143338551,True,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,}}ywF~vlbMrC_JrAgEn@wAl@uB
192193,2nd Avenue - Southbound - 86th St to 72nd St,Manhattan,control,812.195986360458,1968.3639291434988,812.195986360458,True,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,wl{wFrujbM`LzH`Bt@`C`Brc@zY
22021,72nd Street - Eastbound - 5th Ave to Lexington Ave,Manhattan,control,814.9155806857028,826.2963860219041,814.9155806857028,True,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,kjzwFfumbMtKa]
193021,72nd Streeet - Westbound - 2nd Ave to Lexington Ave,Manhattan,control,817.3142693647404,829.67724046978,817.3142693647404,True,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,etywF|~kbMk@jBy@rB_AvC_DzJ
