boundary_hour,tau,se,pct_change,n_obs,n_dates,bandwidth_min,poly_order,sample,is_toll_boundary,is_placebo
3,-0.040218217700784945,0.004034419758368433,-3.9420199235791644,5220,435,60,2,weekday,False,True
4,-0.05852587190190935,0.0039467931172647835,-5.684616109959407,5220,435,60,2,weekday,False,True
5,-0.5546765747926067,0.005700901631580518,-42.57420393351019,5220,435,60,2,weekday,True,False
6,-0.10017535248526295,0.002706063972625207,-9.532123354367103,5220,435,60,2,weekday,False,True
7,-0.03447877946561919,0.002062581818589743,-3.3891159185159516,5220,435,60,2,weekday,False,True
8,-0.013605494148343581,0.0021095153287083138,-1.351335773995043,5220,435,60,2,weekday,False,True
9,-0.016745274302295783,0.002097963552669111,-1.6605851505641853,5220,435,60,2,weekday,False,True
10,-0.028173573338828275,0.002287918486140579,-2.778039924714961,5220,435,60,2,weekday,False,True
11,-0.03344574167156411,0.002425140032831251,-3.2892616562093724,5220,435,60,2,weekday,False,True
12,-0.017415105964058954,0.002671291859773659,-1.7264339479628514,5220,435,60,2,weekday,False,True
13,-0.00936086791161038,0.002385827675083851,-0.9317191377248601,5220,435,60,2,weekday,False,True
14,-0.011328245923414465,0.0022324147341388273,-1.1264322951639154,5220,435,60,2,weekday,False,True
15,-0.004724386897542326,0.0019750909234910194,-0.471324453561243,5220,435,60,2,weekday,False,True
16,-0.010448225326531566,0.0020456181338436106,-1.0393832222256305,5220,435,60,2,weekday,False,True
17,-0.003042921615672802,0.0021061627856140993,-0.30382966220469254,5220,435,60,2,weekday,False,True
18,-0.0070980191939850525,0.0020445930185787288,-0.7072887752053079,5220,435,60,2,weekday,False,True
19,-0.012190133193889808,0.0021680166894524756,-1.2116134510051773,5220,435,60,2,weekday,False,True
20,-0.005814787059769574,0.0023284445201590086,-0.5797913905934579,5220,435,60,2,weekday,False,True
21,0.11536030473448217,0.0029145866710781204,12.227772671225727,5220,435,60,2,weekday,True,False
22,-0.02921361834420934,0.0027821107989157903,-2.879102574742521,5220,435,60,2,weekday,False,True
23,-0.025895433814256075,0.003079713156670111,-2.5563022560375734,5220,435,60,2,weekday,False,True
0,0.14398268912400233,0.03238837373962756,15.48641166423583,2088,174,60,2,weekend,False,False
1,-0.007135056303661205,0.005332204846870565,-0.71096622213956,2088,174,60,2,weekend,False,True
2,-0.10040490016645981,0.061335969403359496,-9.552887662383355,2088,174,60,2,weekend,False,True
3,0.07749877581974732,0.061604699389837266,8.058090963193917,2088,174,60,2,weekend,False,True
4,-0.007131733282835216,0.005083931516186287,-0.7106362820643253,2088,174,60,2,weekend,False,True
5,-0.10099016570886876,0.005148101792546798,-9.605807752981606,2088,174,60,2,weekend,False,True
6,-0.08216356712516167,0.004740197781652954,-7.887871878615011,2088,174,60,2,weekend,False,True
7,-0.0662377880558643,0.005219726944919708,-6.409170998283488,2088,174,60,2,weekend,False,True
8,-0.07052929557770302,0.003857251902369353,-6.80995614358059,2088,174,60,2,weekend,False,True
9,-0.14266029748306677,0.004508664965642497,-13.295144254932536,2088,174,60,2,weekend,True,False
10,-0.05123814997496649,0.003945973366533064,-4.9947611363588145,2088,174,60,2,weekend,False,True
11,-0.030800306934677446,0.0034441244928237547,-3.033081004370041,2088,174,60,2,weekend,False,True
12,-0.02252170336441894,0.0030219655253294806,-2.226998306779915,2088,174,60,2,weekend,False,True
13,-0.013803598538640716,0.0031714245272380457,-1.3708765718523326,2088,174,60,2,weekend,False,True
14,0.003252075544432706,0.0032118314496256094,0.3257369279092211,2088,174,60,2,weekend,False,True
15,-0.0035284068249799333,0.002769837457939301,-0.3522189312406242,2088,174,60,2,weekend,False,True
16,-0.008547362401981208,0.0032305638590256454,-0.851093755263916,2088,174,60,2,weekend,False,True
17,-0.0067375228235164696,0.003019676371964849,-0.6714876604965476,2088,174,60,2,weekend,False,True
18,-0.0031858444612014353,0.0027439626896472225,-0.3180775043623523,2088,174,60,2,weekend,False,True
19,-0.016396639200337883,0.0031473107754609597,-1.6262946015444695,2088,174,60,2,weekend,False,True
20,-0.0063168961510710955,0.0041837090254996925,-0.6296986507022987,2088,174,60,2,weekend,False,True
21,0.08868472810128102,0.004579590256593803,9.273609303077345,2088,174,60,2,weekend,True,False
22,-0.013880596333290062,0.0035922913921004997,-1.378470504482714,2088,174,60,2,weekend,False,True
23,-0.016175294962497047,0.004387454372920025,-1.604517738696825,2088,174,60,2,weekend,False,True
0,-0.1156343512748114,0.007682951692651236,-10.919911603724149,7830,435,90,1,weekday,False,False
1,0.01699550941754501,0.0038431180724940164,1.714075476055766,7830,435,90,1,weekday,False,True
2,-0.039360672062704896,0.0024703519235050207,-3.8596104918877256,7830,435,90,1,weekday,False,True
3,-0.01904620597339783,0.0022714949391892955,-1.8865973057315386,7830,435,90,1,weekday,False,True
4,0.24636037869772034,0.00227473044386561,27.936054476168128,7830,435,90,1,weekday,False,True
5,-0.32662533301116536,0.0036392967442713505,-27.864604008118192,7830,435,90,1,weekday,True,False
6,0.11246906121879177,0.0021021621753586563,11.903763471665478,7830,435,90,1,weekday,False,True
7,-0.12951832302379593,0.0018075930202672574,-12.148150884644696,7830,435,90,1,weekday,False,True
8,-0.005722505745768236,0.001421749882292987,-0.5706163397683327,7830,435,90,1,weekday,False,True
9,-0.025310743587159498,0.0016336131459519687,-2.499311218846879,7830,435,90,1,weekday,False,True
10,-0.037324784985368384,0.0017801128320753163,-3.663680136914118,7830,435,90,1,weekday,False,True
11,-0.002113359076214632,0.0017783211672982749,-0.21111275052358675,7830,435,90,1,weekday,False,True
12,-0.00240125410555931,0.0017175222227521938,-0.2398373401148662,7830,435,90,1,weekday,False,True
13,-0.0065487048194149775,0.0016760187513420717,-0.6527308782928694,7830,435,90,1,weekday,False,True
14,0.01594258650209844,0.0014838256617864592,1.6070347578652937,7830,435,90,1,weekday,False,True
15,-0.006325956098422829,0.0013759970550158496,-0.6305989363225729,7830,435,90,1,weekday,False,True
16,-0.014241229422641246,0.0013689006406272962,-1.4140302789401638,7830,435,90,1,weekday,False,True
17,-0.011060259834796636,0.0014721980482520637,-1.0999320037908866,7830,435,90,1,weekday,False,True
18,0.021821618437906025,0.0016973115867486674,2.2061451290245784,7830,435,90,1,weekday,False,True
19,-0.024300305090707082,0.0023989661999945294,-2.400742979286285,7830,435,90,1,weekday,False,True
20,-0.0689737421456973,0.0021938506550080164,-6.664881244406025,7830,435,90,1,weekday,False,True
21,0.13224157524411856,0.0023605653028252903,14.138401608745033,7830,435,90,1,weekday,True,False
22,-0.006598112803050867,0.001989369159789269,-0.6576393052811663,7830,435,90,1,weekday,False,True
23,-0.05262119814374945,0.0034257060723350027,-5.1260671358025025,7830,435,90,1,weekday,False,True
0,0.2216598028260988,0.032544829977481454,24.814668965308062,3132,174,90,1,weekend,False,False
1,-0.06002018361800604,0.020279503010840885,-5.825447443952281,3132,174,90,1,weekend,False,True
2,-0.13984848831872101,0.07761538401296486,-13.051003669440886,3132,174,90,1,weekend,False,True
3,0.09586215278271641,0.08748477733933079,10.060733787785935,3132,174,90,1,weekend,False,True
4,0.0007525849466202463,0.026413738260383166,0.07528682097265792,3132,174,90,1,weekend,False,True
5,-0.042734052714160774,0.003386577906518116,-4.18338221201446,3132,174,90,1,weekend,False,True
6,0.12221121890570011,0.0036368717786915603,12.999275240828192,3132,174,90,1,weekend,False,True
7,-0.1839283075078442,0.003152033564057871,-16.80045504841898,3132,174,90,1,weekend,False,True
8,0.05268669500253852,0.0026173595496908827,5.4099338788082525,3132,174,90,1,weekend,False,True
9,-0.12647116647659018,0.003358017755271488,-11.88004427347202,3132,174,90,1,weekend,True,False
10,0.02785702143518788,0.0022831513805545035,2.8248656393586167,3132,174,90,1,weekend,False,True
11,-0.01473501695235237,0.0021935008563437213,-1.4626987844534578,3132,174,90,1,weekend,False,True
12,-0.02446168584652408,0.002235968450426003,-2.4164923502945856,3132,174,90,1,weekend,False,True
13,-0.0027902875150850586,0.002334148912810588,-0.27863982810779697,3132,174,90,1,weekend,False,True
14,0.005193864348162382,0.0022316027247820027,0.5207375843759492,3132,174,90,1,weekend,False,True
15,-0.011165842457066382,0.002254311370839935,-1.110373581078327,3132,174,90,1,weekend,False,True
16,-0.0002895016810849907,0.0021688763181176053,-0.02894597795169376,3132,174,90,1,weekend,False,True
17,-0.007575210518056907,0.0022868117952961316,-0.7546590922942877,3132,174,90,1,weekend,False,True
18,0.008618764625815857,0.0026392778558086884,0.865601311273054,3132,174,90,1,weekend,False,True
19,-0.01814919289573541,0.0029231020501310078,-1.7985488160013317,3132,174,90,1,weekend,False,True
20,-0.03971878574681127,0.0028477086433827898,-3.894033516919859,3132,174,90,1,weekend,False,True
21,0.08569391557913207,0.003330491058493214,8.947280661177226,3132,174,90,1,weekend,True,False
22,0.010849990957706248,0.0025640904299913275,1.0909065569280507,3132,174,90,1,weekend,False,True
23,-0.14107076816815065,0.011405040543816846,-13.15721475252754,3132,174,90,1,weekend,False,True
0,-0.15831094689651906,0.007818705260534938,-14.641567869709087,7830,435,90,2,weekday,False,False
1,0.029836750819538793,0.003410131294163385,3.0286326825557865,7830,435,90,2,weekday,False,True
2,-0.00472000076513022,0.003133628571095138,-0.47088790665411917,7830,435,90,2,weekday,False,True
3,-0.038102009913689935,0.0030005700419593866,-3.7385260363973027,7830,435,90,2,weekday,False,True
4,-0.06189035632570183,0.0030405833746257986,-6.001405534607519,7830,435,90,2,weekday,False,True
5,-0.6288186990323679,0.0053945193454032776,-46.67786760283835,7830,435,90,2,weekday,True,False
6,-0.19369469175185497,0.0024153723113752466,-17.609058778782895,7830,435,90,2,weekday,False,True
7,-0.06207990085156031,0.0023176067317731384,-6.019220765183772,7830,435,90,2,weekday,False,True
8,-0.03264489385739154,0.001794744456782643,-3.2117800514539447,7830,435,90,2,weekday,False,True
9,-0.034474361895767525,0.0018316265931186235,-3.388689132244412,7830,435,90,2,weekday,False,True
10,-0.03140420023310612,0.0019320677954332616,-3.0916209991864325,7830,435,90,2,weekday,False,True
11,-0.023524546103268863,0.002121705762705838,-2.3250001031752525,7830,435,90,2,weekday,False,True
12,-0.027902031491262923,0.0022414021403755883,-2.751636509398343,7830,435,90,2,weekday,False,True
13,-0.012493879083604133,0.0020909797069723983,-1.2416154606467191,7830,435,90,2,weekday,False,True
14,-0.01197991583262255,0.001881517300949782,-1.1908442341124972,7830,435,90,2,weekday,False,True
15,-0.014770464212298195,0.0017037997257834429,-1.4661915998782713,7830,435,90,2,weekday,False,True
16,-0.01879128649212249,0.0016845619126039683,-1.861583099841822,7830,435,90,2,weekday,False,True
17,-0.0033532291933469132,0.0018208918346823233,-0.3347613399104053,7830,435,90,2,weekday,False,True
18,-0.00881089664234198,0.0018490595986850628,-0.8772194442957144,7830,435,90,2,weekday,False,True
19,-0.025242525729720845,0.002022455082245957,-2.492659703885966,7830,435,90,2,weekday,False,True
20,-0.018633645699928196,0.0020753795834994077,-1.8461112625926872,7830,435,90,2,weekday,False,True
